latitude, longitude
40.6064661323,-75.3779315606
40.6064659845,-75.3779314288
40.6064657011,-75.3779312197
40.6064653726,-75.3779308867
40.6064650284,-75.377930499
40.6064646481,-75.3779300277
40.6064642487,-75.3779294286
40.606463803,-75.377928757
40.6064633269,-75.3779280605
40.6064628252,-75.3779273559
40.6064622855,-75.3779266416
40.606461644,-75.3779259394
40.606460986,-75.3779252631
40.6064602917,-75.3779245994
40.6064593961,-75.3779243056
40.6064584629,-75.3779240928
40.6064574913,-75.377923928
40.6064564872,-75.3779238804
40.6064554704,-75.3779239328
40.6064544607,-75.3779240877
40.6064534643,-75.3779243238
40.606452446,-75.3779246708
40.6064514434,-75.3779250894
40.6064504494,-75.3779255819
40.6064494748,-75.3779261512
40.6064485141,-75.3779268069
40.6064475835,-75.3779277591
40.606446661,-75.3779288473
40.6064457692,-75.3779301359
40.6064449205,-75.3779316599
40.6064441517,-75.3779332578
40.6064434935,-75.3779350123
40.6064428981,-75.3779369292
40.6064424141,-75.3779390355
40.6064420643,-75.3779412838
40.6064418671,-75.3779436135
40.606441793,-75.3779460741
40.6064418684,-75.3779485876
40.6064421621,-75.3779511942
40.6064426142,-75.3779539688
40.6064432516,-75.3779567645
40.6064439623,-75.3779595848
40.6064447419,-75.3779624135
40.6064456496,-75.3779652471
40.6064467068,-75.3779681475
40.6064478437,-75.3779710857
40.6064490344,-75.3779740294
40.6064503145,-75.3779770804
40.6064516572,-75.3779801536
40.6064530511,-75.377983297
40.6064544481,-75.3779865783
40.606455805,-75.3779898116
40.6064571341,-75.3779930593
40.606458475,-75.3779963674
40.6064598708,-75.377999688
40.6064613092,-75.3780030465
40.6064627688,-75.3780064829
40.6064641375,-75.3780098493
40.6064655034,-75.3780132922
40.6064665919,-75.378016631
40.606467627,-75.3780200007
40.6064686066,-75.3780233814
40.6064694108,-75.3780267155
40.6064700191,-75.3780299463
40.6064704987,-75.378032829
40.6064707332,-75.3780357608
40.606470836,-75.3780383854
40.6064706941,-75.378040761
40.6064704469,-75.3780429199
40.6064701665,-75.378044816
40.6064696422,-75.3780464305
40.6064690903,-75.378047776
40.6064683721,-75.3780489415
40.6064676732,-75.3780498558
40.6064669785,-75.3780506375
40.6064663177,-75.3780512908
40.6064656436,-75.3780517969
40.6064649627,-75.3780521651
40.6064643539,-75.378052451
40.606463713,-75.3780525956
40.6064630931,-75.3780526716
40.6064625211,-75.3780527584
40.6064619507,-75.3780527473
40.6064614063,-75.3780526579
40.6064608844,-75.3780524867
40.606460342,-75.3780522064
40.6064598372,-75.3780518554
40.60645938,-75.3780514469
40.6064589307,-75.3780509023
40.6064584616,-75.3780502516
40.6064580144,-75.3780494608
40.606457547,-75.3780484956
40.6064571163,-75.3780474384
40.606456695,-75.3780462148
40.6064563335,-75.3780448788
40.6064560419,-75.3780434106
40.6064558301,-75.378041752
40.6064557365,-75.3780400071
40.6064557601,-75.3780381434
40.6064559452,-75.3780362793
40.6064562433,-75.3780343447
40.6064565423,-75.3780323086
40.6064568448,-75.378030236
40.606457177,-75.3780281308
40.6064574851,-75.3780258935
40.606457742,-75.378023698
40.6064579459,-75.3780214161
40.6064583545,-75.3780189031
40.6064587332,-75.3780164498
40.6064591336,-75.3780139664
40.6064595234,-75.3780114109
40.6064599054,-75.378008887
40.6064603133,-75.3780063281
40.6064606791,-75.378003747
40.6064610298,-75.3780011253
40.6064614029,-75.3779985259
40.6064618458,-75.3779959217
40.6064623595,-75.3779933047
40.6064630148,-75.3779907147
40.6064638693,-75.3779880865
40.6064649237,-75.3779854755
40.6064660675,-75.3779829223
40.6064674028,-75.3779805864
40.6064689439,-75.3779782019
40.6064705277,-75.3779759931
40.6064722018,-75.3779739641
40.6064739104,-75.377972042
40.6064756133,-75.3779702198
40.6064773146,-75.3779684806
40.606479005,-75.3779668453
40.6064805652,-75.3779653154
40.6064820505,-75.3779638401
40.606483467,-75.3779624078
40.6064847226,-75.3779610896
40.6064859012,-75.3779598374
40.6064870016,-75.3779586224
40.6064879369,-75.3779574879
40.6064887571,-75.3779563897
40.6064893738,-75.3779552707
40.6064898389,-75.377954368
40.6064901112,-75.3779534885
40.6064903178,-75.3779527172
40.6064904894,-75.3779520573
40.6064905349,-75.3779515108
40.6064904211,-75.3779511223
40.6064902284,-75.3779508534
40.6064901622,-75.3779507729
40.6064900787,-75.3779508241
40.6064900916,-75.3779509674
40.6064901483,-75.3779512003
40.6064902774,-75.3779514904
40.6064905186,-75.3779517816
40.6064908144,-75.3779520674
40.6064911374,-75.3779523634
40.6064915628,-75.3779526498
40.6064920394,-75.3779529227
40.6064925548,-75.3779531894
40.6064931682,-75.3779534457
40.6064938266,-75.3779537301
40.6064944183,-75.3779539994
40.6064951479,-75.3779543229
40.6064958462,-75.3779545849
40.6064958446,-75.3779545846
40.6064958429,-75.3779545843
40.6064958413,-75.377954584
40.6064958396,-75.3779545836
40.6064958379,-75.3779545833
40.6064958363,-75.377954583
40.6064958346,-75.3779545827
40.606495833,-75.3779545824
40.6064958313,-75.3779545821
40.6064958297,-75.3779545817
40.606495828,-75.3779545814
40.6064958263,-75.3779545811
40.6064958247,-75.3779545808
40.606495823,-75.3779545805
40.6064958214,-75.3779545801
40.6064958197,-75.3779545798
40.6064958181,-75.3779545795
40.6064958164,-75.3779545792
40.6064958147,-75.3779545788
40.6064958131,-75.3779545785
40.6064958114,-75.3779545782
40.6064958098,-75.3779545779
40.6064958081,-75.3779545775
40.6064958065,-75.3779545772
40.6064958048,-75.3779545769
40.6064958032,-75.3779545766
40.6064958015,-75.3779545762
40.6064957998,-75.3779545759
40.6064957982,-75.3779545756
40.6064957965,-75.3779545752
40.6064957949,-75.3779545749
40.6064957932,-75.3779545746
40.6064957916,-75.3779545743
40.6064957899,-75.3779545739
