latitude, longitude
40.6065566677,-75.3777866713
40.6065566677,-75.3777866713
40.6065566677,-75.3777866713
40.6065566677,-75.3777865318
40.6065566677,-75.3777864136
40.6065566677,-75.3777863121
40.6065566677,-75.3777862241
40.6065566677,-75.377786147
40.6065566677,-75.3777860789
40.6065566677,-75.3777860183
40.6065566677,-75.377785964
40.6065566677,-75.3777859151
40.6065566677,-75.3777858708
40.6065566677,-75.3777858304
40.6065566677,-75.3777857935
40.6065566677,-75.3777857596
40.6065566677,-75.3777857284
40.6065566358,-75.377785792
40.6065566124,-75.3777858329
40.6065565853,-75.3777858866
40.6065565121,-75.3777860742
40.6065563946,-75.3777863318
40.6065561839,-75.3777868554
40.6065559251,-75.3777875137
40.606555606,-75.3777883348
40.6065552569,-75.3777892368
40.606554872,-75.3777902236
40.606554462,-75.3777912715
40.6065540231,-75.3777923652
40.6065535598,-75.3777935465
40.6065530586,-75.3777947711
40.6065525356,-75.3777960089
40.6065519875,-75.3777972757
40.606551444,-75.3777985594
40.6065508831,-75.3777999547
40.6065503365,-75.3778014262
40.6065497367,-75.377802945
40.6065491343,-75.3778045039
40.6065485392,-75.3778061533
40.6065479536,-75.3778078368
40.6065472894,-75.3778095947
40.6065466109,-75.3778114525
40.6065459314,-75.3778133917
40.6065452554,-75.3778155139
40.6065445212,-75.3778177131
40.6065437881,-75.3778200021
40.6065430556,-75.3778224623
40.6065422537,-75.3778249236
40.6065414068,-75.3778274941
40.6065405551,-75.3778301413
40.6065397036,-75.3778327468
40.606538907,-75.3778353401
40.6065380572,-75.3778379691
40.6065371443,-75.3778406361
40.606536127,-75.3778433185
40.6065351413,-75.3778461287
40.6065341233,-75.3778489778
40.606533156,-75.377851928
40.6065321257,-75.3778549657
40.6065310801,-75.3778580471
40.6065301287,-75.3778612956
40.6065291634,-75.3778646004
40.6065283176,-75.3778681033
40.6065274759,-75.3778716198
40.6065266516,-75.3778752673
40.6065258964,-75.3778788863
40.6065250882,-75.3778825831
40.6065242737,-75.3778863285
40.6065233891,-75.3778900768
40.6065225124,-75.3778938882
40.6065215687,-75.3778976522
40.6065205445,-75.3779014091
40.6065195935,-75.3779052569
40.6065185646,-75.3779091111
40.606517493,-75.3779129638
40.6065163819,-75.3779168217
40.6065152197,-75.3779206983
40.6065140414,-75.3779246549
40.6065128332,-75.3779285729
40.6065116158,-75.3779325874
40.6065105714,-75.3779367261
40.6065095596,-75.3779409395
40.606508678,-75.3779452889
40.6065077303,-75.3779495728
40.6065067359,-75.3779539361
40.6065058104,-75.3779582886
40.6065047844,-75.3779626559
40.6065037165,-75.3779669844
40.6065026921,-75.3779713855
40.6065016393,-75.3779758429
40.6065005787,-75.3779802291
40.6064996452,-75.3779847427
40.6064987065,-75.3779892086
40.6064979001,-75.3779937391
40.6064971024,-75.3779983622
40.606496329,-75.3780029535
40.6064957378,-75.3780076279
40.6064951533,-75.3780123399
40.6064946879,-75.3780170844
40.6064942942,-75.378021855
40.6064939665,-75.3780267059
40.6064936586,-75.3780315511
40.6064933638,-75.3780364016
40.6064930258,-75.3780413424
40.6064927055,-75.3780462338
40.6064923475,-75.3780511652
40.6064919963,-75.3780560435
40.6064916535,-75.3780609576
40.6064911785,-75.3780658433
40.606490708,-75.3780707923
40.6064902603,-75.3780757373
40.6064899544,-75.3780806813
40.6064895694,-75.3780856484
40.6064892995,-75.3780905958
40.6064892706,-75.3780956165
40.6064893357,-75.3781006804
40.6064896303,-75.3781057207
40.6064900148,-75.3781108395
40.6064904855,-75.3781159435
40.606491032,-75.3781210286
40.6064917744,-75.3781261655
40.606492549,-75.3781313001
40.606493291,-75.3781363936
40.6064939691,-75.3781414832
40.6064947048,-75.3781462746
40.6064952807,-75.3781511716
40.6064958227,-75.3781558823
40.6064963625,-75.3781604451
40.6064969069,-75.3781648263
40.6064974903,-75.3781691476
40.6064981701,-75.3781733023
40.6064987121,-75.3781774206
40.6064991705,-75.3781813952
40.6064995331,-75.3781852774
40.6064998266,-75.3781891223
40.606500047,-75.3781928707
40.6065003064,-75.3781965822
40.6065004772,-75.3782001731
40.6065005113,-75.3782036588
40.6065002822,-75.3782071434
40.6064999123,-75.3782104593
40.6064993175,-75.378213735
40.6064986257,-75.3782168364
40.6064977457,-75.3782198252
40.6064966885,-75.3782227227
40.6064956812,-75.3782254538
40.606494624,-75.3782280467
40.6064935407,-75.3782305235
40.6064924424,-75.3782327856
40.6064913817,-75.3782347346
40.6064900992,-75.3782365786
40.6064888368,-75.3782380448
40.6064874255,-75.3782393773
40.6064860772,-75.3782403882
40.6064847802,-75.3782411843
40.6064831916,-75.3782417617
40.6064816887,-75.3782421129
40.6064799991,-75.3782422257
40.6064781806,-75.378242107
40.6064763234,-75.3782417661
40.6064744918,-75.3782412223
40.6064727279,-75.378240544
40.6064710881,-75.3782397826
40.6064694999,-75.3782388968
40.6064679734,-75.3782379341
40.6064665715,-75.3782369702
40.6064652404,-75.3782360996
40.6064639417,-75.3782352932
40.6064626978,-75.3782345536
40.6064614492,-75.3782338588
40.6064602528,-75.3782332031
40.6064591305,-75.3782325481
40.6064580181,-75.3782318126
40.6064570228,-75.3782310609
40.6064560873,-75.3782302265
40.6064551631,-75.3782293191
40.6064543061,-75.378228384
40.6064534635,-75.3782273947
40.6064526885,-75.3782263659
40.6064519604,-75.3782252614
40.6064512706,-75.3782241073
40.6064506287,-75.3782228872
40.6064500137,-75.378221601
40.6064493994,-75.3782202413
40.60644877,-75.3782188512
40.6064481812,-75.3782174529
40.6064475572,-75.3782160127
40.6064469059,-75.378214479
40.6064462169,-75.3782128753
40.60644544,-75.3782110936
40.6064445836,-75.3782091698
40.6064435832,-75.3782070292
40.6064425072,-75.3782047555
40.6064414077,-75.3782022417
40.6064402508,-75.3781995514
40.6064390233,-75.3781966726
40.6064377699,-75.3781935484
40.6064364813,-75.3781902982
40.6064352109,-75.3781868665
40.6064339334,-75.3781832428
40.60643271,-75.378179475
40.6064314801,-75.3781756154
40.6064302038,-75.3781715316
40.6064291207,-75.3781673882
40.6064280171,-75.3781630333
40.6064271025,-75.3781584426
40.6064263712,-75.3781536977
40.6064257217,-75.3781488047
40.6064251926,-75.3781435778
40.6064246361,-75.3781381212
40.6064242045,-75.3781324342
40.6064238346,-75.3781265629
40.606423761,-75.3781203361
40.6064238621,-75.3781140107
40.606424255,-75.3781074957
40.606424819,-75.3781008091
40.6064254594,-75.3780941414
40.6064262361,-75.378087383
40.6064269589,-75.378080575
40.6064277678,-75.3780737723
40.6064285274,-75.3780669749
40.606429294,-75.3780601704
40.6064302412,-75.3780533802
40.6064312954,-75.3780465527
40.6064324855,-75.3780398076
40.6064339364,-75.3780329828
40.6064357986,-75.3780262206
40.6064380093,-75.3780195654
40.606440439,-75.3780129247
40.6064429785,-75.3780063226
40.606445429,-75.3779998592
40.6064479525,-75.3779934602
40.6064504887,-75.3779870785
40.6064528706,-75.377980793
40.6064552779,-75.3779745224
40.6064578414,-75.3779682311
40.6064605783,-75.377962032
40.6064633406,-75.3779558757
40.6064662156,-75.3779496776
40.606469005,-75.3779435506
40.6064718705,-75.3779373917
40.6064746294,-75.3779311754
40.6064774499,-75.3779249971
40.606480331,-75.3779188832
40.6064832831,-75.377912663
40.6064861056,-75.3779065413
40.6064887849,-75.3779006169
40.6064913939,-75.3778946447
40.6064940176,-75.3778888747
40.6064965136,-75.3778832211
40.6064988973,-75.3778776321
40.6065012884,-75.3778722171
40.6065035639,-75.3778667751
40.606505675,-75.3778615293
40.6065076637,-75.3778563051
40.6065095016,-75.377851035
40.6065110897,-75.3778458173
40.6065125686,-75.3778406876
40.6065138532,-75.3778355387
40.6065150941,-75.3778305141
40.6065163114,-75.3778256128
40.6065174267,-75.3778207937
40.6065184321,-75.3778161066
40.6065192745,-75.3778119444
40.6065197302,-75.3778093617
40.6065204099,-75.3778058045
40.6065211638,-75.3778022586
